1994group.ac.uk, The 1994 Group
ucas.ac.uk, Universities and Colleges Admissions Service
ucas01.ac.uk, Universities and Colleges Admissions Service
ucasgraduate.ac.uk, UCAS Limited
ucaspg.ac.uk, UCAS Limited
ucaspostgrad.ac.uk, UCAS Limited
ucaspostgraduate.ac.uk, UCAS Limited
ucb.ac.uk, University College Birmingham
ucc.ac.uk, University of Chichester
uce.ac.uk, Birmingham City University
ucea.ac.uk, University & Colleges' Employers' Association
ucel.ac.uk, Universities' Collaboration in E-Learning
ucet.ac.uk, Universitites Council for Education of Teachers
ucf.ac.uk, Canterbury Christ Church University
uch.ac.uk, University of Brighton
uchastings.ac.uk, University of Brighton
ucisa.ac.uk, Universities and Colleges Information Systems Association
ucl-status.ac.uk, University College London
ucl.ac.uk, University College London
uclan.ac.uk, University of Central Lancashire
uclglobal.ac.uk, University College London
ucm.ac.uk, West Nottinghamshire College
ucmk.ac.uk, Milton Keynes College
ucml.ac.uk, University of Southampton
ucpmarjon.ac.uk, University College Plymouth St Mark & St John
ucreative.ac.uk, University for the Creative Arts
ucs.ac.uk, University of Essex
ucsalf.ac.uk, University of Salford
ucsalford.ac.uk, University of Salford
ucsm.ac.uk, The University of Cumbria
ucy.ac.uk, Yeovil College
udel.ac.uk, University of Delaware London Centre
uea.ac.uk, University of East Anglia
uec.ac.uk, University of Exeter
uee.ac.uk, Anglia Polytechnic University
ueharlax.ac.uk, Harlaxton College
uel.ac.uk, University of East London
ufm.ac.uk, Universities for Medway
uhi.ac.uk, University of the Highlands and Islands
uhl.ac.uk, University Hospital Lewisham
uhmlg.ac.uk, The University of Manchester
uhovi.ac.uk, University of Glamorgan
uhr.ac.uk, University of Newcastle upon Tyne
uhsl.ac.uk, University Health Science Librarians
uk-india-energynetwork.ac.uk, University of Nottingham
ukadia.ac.uk, GuildHE
ukaea.ac.uk, United Kingdom Atomic Energy Authority
ukaff.ac.uk, University of Leicester
ukbiobank.ac.uk, UK Biobank
ukc.ac.uk, University of Kent
ukca.ac.uk, University of Cambridge
ukcasa.ac.uk, University of Southampton
ukcat.ac.uk, Pearson Vue
ukcge.ac.uk, UK Council for Graduate Education
ukchinab4g.ac.uk, Heriot-Watt University
ukcle.ac.uk, University of Warwick
ukcmri.ac.uk, Medical Research Council
ukcpmn.ac.uk, University of London
ukda.ac.uk, University of Essex
ukerc.ac.uk, UK Energy Research Centre
ukerna.ac.uk, The JNT Association
ukgrad.ac.uk, The Engineering and Physical Sciences Research Council
ukhec.ac.uk, UK High End Computing
ukhls.ac.uk, Natural Environment Research Council
ukirc.ac.uk, University of Cambridge
uklibrariesplus.ac.uk, Roehampton University
uklight.ac.uk, The JNT Association
ukm.ac.uk, University of Kent
ukmhd.ac.uk, University of Leeds
uknet.ac.uk, UKnet
ukngi.ac.uk, Science and Technology Facilities Council
ukoln.ac.uk, UK Office for Library & Information Networking
ukpass.ac.uk, UCAS Limited
ukpmc.ac.uk, Wellcome Trust
ukpmcplus.ac.uk, The University of Manchester
ukpubmedcentral.ac.uk, Wellcome Trust
ukqcd.ac.uk, Swansea University
ukrds.ac.uk, London School of Economics and Political Science
ukrheeo.ac.uk, Biotechnology and Biological Sciences Research Council
ukro.ac.uk, United Kingdom Research Office
ukrr.ac.uk, The British Library
uksrn.ac.uk, University of Newcastle upon Tyne
ukssdc.ac.uk, Science and Technology Facilities Council
uktrc.ac.uk, "Imperial College of Science,  Technology and Medicine"
ulcc.ac.uk, University of London
ulep.ac.uk, University of Southampton
ulh.ac.uk, University of Lincoln
ull.ac.uk, University of London
ulsop.ac.uk, "The School of Pharmacy,  University of London"
ulst.ac.uk, University of Ulster
ulster.ac.uk, University of Ulster
ulth.ac.uk, United Leeds Teaching Hospital
ultralab.ac.uk, ULTRALAB - Anglia Polytechnic University
umds.ac.uk, University Medical Dental School
umis.ac.uk, University of Dundee
umist.ac.uk, The University of Manchester
umk.ac.uk, Milton Keynes College
ums.ac.uk, Ulster Medical Society
umslg.ac.uk, University College London
umtc.ac.uk, School of Mathematics & Statistics- Birmingham University
understandingsociety.ac.uk, Economic and Social Research Council
uni-east.ac.uk, The Association of Universities in The East of England
uni-west.ac.uk, University of Westminster
uni-westminster.ac.uk, University of Westminster
unidesk.ac.uk, University of Edinburgh
uniofwestminster.ac.uk, University of Westminster
union.ac.uk, Union Theological College
unis4ne.ac.uk, Universitites for the North East
unistats.ac.uk, Higher Education Funding Council for England
unisurreydirect.ac.uk, University of Surrey
unity.ac.uk, University of Salford
universities-scotland.ac.uk, Universities Scotland
universitiesengland.ac.uk, Committee of Vice Chancellors & Principals
universitieshr.ac.uk, University of Newcastle upon Tyne
universitiesinlondon.ac.uk, London Higher
universitiesireland.ac.uk, Committee of Vice Chancellors & Principals
universitiesnorthernireland.ac.uk, Committee of Vice Chancellors & Principals
universitiesscotland.ac.uk, Committee of Vice Chancellors & Principals
universitiessouthwest.ac.uk, Higher Education Regional Development Association in the South West
universitiesuk.ac.uk, Committee of Vice Chancellors & Principals
universitieswales.ac.uk, Committee of Vice Chancellors & Principals
universitiesweek.ac.uk, Universities UK
universitieswm.ac.uk, Aston University
university-alliance.ac.uk, Oxford Brookes University
university-central-england.ac.uk, Birmingham City University
university-of-cambridge.ac.uk, University of Cambridge
university-of-westminster.ac.uk, University of Westminster
universitycentrestratford.ac.uk, Birkbeck College
universitycollegefalmouth.ac.uk, University College Falmouth
universityofcambridge.ac.uk, University of Cambridge
universityofchichester.ac.uk, University of Chichester
universityoflondon.ac.uk, University of London
universityofwestlondon.ac.uk, The University of West London
universityofwestminster.ac.uk, University of Westminster
universityquarter-stoke.ac.uk, Staffordshire University
universitysquarestratford.ac.uk, Birkbeck College
uniwest.ac.uk, University of Westminster
uniwestminister.ac.uk, University of Westminster
uniwestminster.ac.uk, University of Westminster
unl.ac.uk, London Metropolitan University
unn.ac.uk, University of Northumbria at Newcastle
uol.ac.uk, University of London
upa.ac.uk, University of Surrey
updates.ac.uk, Ultrafast Photonics for Datacomms Above Terabit
upmg.ac.uk, University Printing Managers' Group at Stirling University
ursula.ac.uk, University of Sheffield
use-of-mans.ac.uk, Use of MANs Initiative
ushare.ac.uk, University of York
ushaw.ac.uk, Ushaw College
usstratford.ac.uk, Birkbeck College
ustc.ac.uk, University of St Andrews
uuk.ac.uk, Committee of Vice Chancellors & Principals
uvac.ac.uk, Universities Vocational Awards Council
uwb-global.ac.uk, Bangor University
uwcatlantic.ac.uk, United World College of the Atlantic
uwcm.ac.uk, Cardiff University
uwe-bristol.ac.uk, University of the West of England
uwe.ac.uk, "University of the West of England,  Bristol"
uwern.ac.uk, Universities Weather Research Network
uwic.ac.uk, "University of Wales Institute,  Cardiff"
uwl.ac.uk, The University of West London
uws.ac.uk, University of the West of Scotland
uxbridge.ac.uk, Uxbridge College
uxbridgecollege.ac.uk, Uxbridge College
v-resort.ac.uk, University of Nottingham
vacancies.ac.uk, Eduserv
vaccine.ac.uk, St George's Hospital Medical School
vads.ac.uk, University for the Creative Arts
vam.ac.uk, Victoria and Albert Museum
vamsas.ac.uk, University of Dundee
varndean.ac.uk, Varndean College
vast.ac.uk, University for the Creative Arts
vcol.ac.uk, Vocational College Ltd
vcoll.ac.uk, Vocational College Ltd
vetgate.ac.uk, The University of Manchester
vetnetlln.ac.uk, Royal Veterinary College
vetschools.ac.uk, The Royal Veterinary College
vge.ac.uk, Virulgenome Project
vgta.ac.uk, Vale of Glamorgan Training Association
vicarious.ac.uk, University of Sussex
victoriacountyhistory.ac.uk, University of London
videoactive.ac.uk, Glasgow Caledonian University
virtualashridge.ac.uk, Ashridge (Bonar Law Memorial) Trust
virtualcollege.ac.uk, Coleg Sir Gar
virulogenome.ac.uk, The Virulogenome Project
visnet.ac.uk, Science and Technology Facilities Council
vista.ac.uk, "Queen Mary and Westfield College,  University of London"
visual-evidence.ac.uk, The Visual Evidence - The Photographic Presentation of Landscape and People
visuallearninglab.ac.uk, University of Nottingham
vitae.ac.uk, Research Councils UK
vital.ac.uk, E-Skills UK Sector Skills Council Limited
viznet.ac.uk, Science and Technology Facilities Council
volstudy.ac.uk, Voluntary Sector Studies Centre
vows.ac.uk, Manchester Metropolitan University
vssn.ac.uk, Voluntary Sector Studies Network
vtri.ac.uk, University of Liverpool
vts.ac.uk, Vocational Training Services
vtstutorials.ac.uk, University of Bristol
wacc.ac.uk, Walsall Metropolitan Borough Council
waes.ac.uk, Westminster City Council
waf.ac.uk, Bangor University
wakcoll.ac.uk, Wakefield College
wakefield.ac.uk, Wakefield College
walcat.ac.uk, Walsall College
wales.ac.uk, University of Wales
wales1801-1919.ac.uk, University of Wales
walesglobalcampus.ac.uk, University of Wales
walker-institute.ac.uk, The University of Reading
walsall-coce.ac.uk, College of Continuing Education
walsallcollege.ac.uk, Walsall College
waltham.ac.uk, Waltham Forest College
warkscol.ac.uk, "Warwickshire College,  Royal Leamington Spa,  Rugby and Moreton Morrell"
warnborough.ac.uk, Warnborough College
warr.ac.uk, Warrington Collegiate Institute
warrington.ac.uk, Warrington Collegiate Institute
warwick.ac.uk, University of Warwick
warwickequine.ac.uk, "Warwickshire College,  Royal Leamington Spa,  Rugby and Moreton Morrell"
warwickhri.ac.uk, University of Warwick
warwickshire.ac.uk, "Warwickshire College,  Royal Leamington Spa,  Rugby and Moreton Morrell"
wbs.ac.uk, University of Warwick
wcc.ac.uk, Lakes College West Cumbria
wccsj.ac.uk, Aberystwyth University
wcmd.ac.uk, Royal Welsh College of Music and Drama
wcoh.ac.uk, Welsh College of Horticulture
wea.ac.uk, Workers' Educational Association
weald.ac.uk, Harrow College
wearside.ac.uk, Wearside College
webpa.ac.uk, Loughborough University
webster.ac.uk, Regent's College
welbeck.ac.uk, TQ Education & Training Ltd
well.ac.uk, Web Enhanced Language Learning Project
wellbeing.ac.uk, University of Leeds
wellcome.ac.uk, Wellcome Trust
welshmediumhe.ac.uk, Centre for Welsh Medium Higher Education
wern.ac.uk, Welsh Education Research Network (WERN)
wesc.ac.uk, Welsh e-Science Centre (WeSC)
wesley-college-bristol.ac.uk, Wesley College
wessex.ac.uk, Wessex Institute of Technology
wessexsfc.ac.uk, Peter Symonds' College
west-cheshire.ac.uk, West Cheshire College
west-lothian.ac.uk, West Lothian College
west-thames.ac.uk, West Thames College
westchem.ac.uk, University of Glasgow
westcumbcoll.ac.uk, Lakes College West Cumbria
westengland.ac.uk, The West of England School and College
westherts.ac.uk, West Herts College
westhill.ac.uk, Westhill College - Birmingham
westkent.ac.uk, West Kent College
westking.ac.uk, Westminster Kingsway College
westlakes.ac.uk, Westlakes Scientific Consulting Limited
westlancs.ac.uk, West Lancashire College
westlondon.ac.uk, The University of West London
westlondoncollege.ac.uk, Hammersmith & West London College
westlondonuniversity.ac.uk, The University of West London
westminister.ac.uk, University of Westminster
westministeruni.ac.uk, University of Westminster
westminster-cfe.ac.uk, UNKNOWN via DNS upload
westminster-uni.ac.uk, University of Westminster
westminster-university.ac.uk, University of Westminster
westminster.ac.uk, University of Westminster
westminstergroup.ac.uk, University of Westminster
westminsteruni.ac.uk, University of Westminster
westminsteruniversity.ac.uk, University of Westminster
westnotts.ac.uk, West Nottinghamshire College
westofscotland.ac.uk, University of the West of Scotland
weston.ac.uk, Weston College
westonstudents.ac.uk, Weston College Students
westsuffolk.ac.uk, West Suffolk College
weymouth.ac.uk, Weymouth College
weymouthcollege.ac.uk, Weymouth College
wfc.ac.uk, Higher Education Funding Council for Wales
wfdc.ac.uk, WFDC
wheb.ac.uk, Aberystwyth University
whelf.ac.uk, Aberystwyth University
whitegates-feu.ac.uk, Whitegates Further Education Unit
whiterose-social-science-doctoral-training-centre.ac.uk, University of Leeds
whiterose.ac.uk, White Rose University Consortium
whystudyamerica.ac.uk, University of Southampton
whystudyeconomics.ac.uk, University of Bristol
whystudyenglish.ac.uk, The Higher Education Academy
whystudylanguages.ac.uk, University of Southampton
whystudymaterials.ac.uk, Loughborough University
wicn.ac.uk, Bangor University
wics.ac.uk, Wessex Intensive Care Society
widnesandruncornsixthformcollege.ac.uk, Runcorn & Widnes Sixth Form College
widnesruncorn.ac.uk, Widnes & Runcorn Sixth Form College
widnessixthformcollege.ac.uk, Widnes Sixth Form College
wigan-leigh.ac.uk, Wigan & Leigh College
wigs.ac.uk, Swansea University
wigston-college.ac.uk, South Leicestershire College
wigstoncollege.ac.uk, South Leicestershire College
wilberforce.ac.uk, Wilberforce Sixth Form College
wilen.ac.uk, University of Sheffield
wiltscoll.ac.uk, Wiltshire College
wiltshire.ac.uk, Wiltshire College
wiltshirecollege.ac.uk, Wiltshire College
wimbledon-school.ac.uk, Wimbledon School of English
wimbledon.ac.uk, University of the Arts London
wimcs.ac.uk, Swansea University
winchester.ac.uk, University of Winchester
wincoll.ac.uk, Winchester College
winningstudents-scotland.ac.uk, University of Stirling
winstanley.ac.uk, Winstanley College
wirad.ac.uk, "University of Wales Institute,  Cardiff"
wirrallearning.ac.uk, Metropolitan Borough of Wirral
wiserd.ac.uk, Cardiff University
witcmi.ac.uk, Wessex Institute of Technology
wittgen-cam.ac.uk, Wittgenstein Archive in Cambridge
wivc.ac.uk, Bangor University
wkac.ac.uk, University of Winchester
wkc.ac.uk, South and West Kent College
wlc.ac.uk, "Ealing,  Hammersmith and West London College"
wlcbs.ac.uk, Wigan & Leigh College - Business School
wlecentre.ac.uk, "Institute of Education,  University of London"
wlp.ac.uk, The West London Partnership
wlu.ac.uk, The University of West London
wlv.ac.uk, University of Wolverhampton
wma.ac.uk, William Morris Sixth Form
wmc.ac.uk, Wirral Metropolitan College
wmcc.ac.uk, William Morris House
wmcollege.ac.uk, Working Men's College
wmhea.ac.uk, West Midlands Higher Education Association
